ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4000000.0,Developer,15,6,6,0,"Java, SQL",De 51 a 100 personas,100% remoto,41,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Contractor,2612000.0,Data Engineer,5,0,0,0,"Bash/Shell, Python, SQL",De 51 a 100 personas,100% remoto,27,Mujer Cis,Semi-Senior,9
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),3337700.0,UX Designer,11,1,4,0,Ninguno de los anteriores,De 5001 a 10000 personas,100% remoto,35,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2880000.0,SysAdmin / DevOps / SRE,5,2,2,0,Python,De 1001 a 2000 personas,100% remoto,37,Mujer Cis,Semi-Senior,5
Santa Fe,Full-Time,Staff (planta permanente),2343300.0,UX Designer,10,4,1,6,Ninguno de los anteriores,De 5001 a 10000 personas,100% remoto,41,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000.0,Manager / Director,8,5,5,4,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,34,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,Infosec,9,3,1,4,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,35,Mujer Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),1051315.0,Technical Support,4,0,0,0,Ninguno de los anteriores,De 51 a 100 personas,100% presencial,32,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3230000.0,Developer,7,2,2,0,"Go, HTML, Javascript, Kotlin, Python, SQL, TypeScript",De 201 a 500 personas,100% remoto,33,Hombre Cis,Senior,4
Río Negro,Full-Time,Staff (planta permanente),2000000.0,Manager / Director,2,2,2,0,"CSS, HTML, Javascript, TypeScript",De 51 a 100 personas,100% remoto,31,Mujer Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000.0,Developer,26,3,3,0,".NET, C#, HTML, Javascript, TypeScript",De 5001 a 10000 personas,100% remoto,44,Mujer Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,Developer,6,2,3,0,"CSS, Go, HTML, Javascript, Kotlin, TypeScript",Más de 10000 personas,100% remoto,39,Mujer Cis,Senior,2
Corrientes,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1025000.0,Developer,2,2,2,0,".NET, C#, CSS, HTML, Javascript, SQL, Swift, TypeScript",De 51 a 100 personas,100% remoto,24,Hombre Cis,Junior,4
Buenos Aires,Full-Time,Contractor,3000000.0,Developer,5,2,1,0,".NET, C#, CSS, HTML, Javascript, PHP, SQL",De 11  a 50  personas,100% remoto,24,Hombre Cis,Semi-Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),5528000.0,Developer,7,5,3,6,"CSS, HTML, Javascript, TypeScript",Más de 10000 personas,Híbrido (presencial y remoto),33,Hombre Cis,Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,Infosec,3,10,3,0,Python,De 2001a 5000 personas,100% remoto,34,Hombre Cis,Semi-Senior,5
Córdoba,Full-Time,Staff (planta permanente),3200000.0,Technical Leader,10,6,2,6,"Javascript, TypeScript",Más de 10000 personas,100% remoto,33,Mujer Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1500000.0,Developer,9,4,4,3,"Java, Javascript, SQL",De 51 a 100 personas,100% remoto,32,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Contractor,3200000.0,Recruiter,7,6,6,3,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,41,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4680000.0,Manager / Director,10,0,0,0,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,34,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000.0,Recruiter,5,2,2,0,Ninguno de los anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),26,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Consultant,10,3,3,0,"ABAP, Python",De 5001 a 10000 personas,100% remoto,43,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Recruiter,9,1,9,1,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),36,Mujer Cis,Senior,9
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4762052.0,Developer,5,2,2,0,".NET, C#",De 501 a 1000 personas,100% remoto,33,Mujer Cis,Semi-Senior,3
Buenos Aires,Part-Time,Contractor,3400000.0,UX Designer,8,2,2,0,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,32,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5180000.0,Developer,7,0,0,0,"Bash/Shell, Java, Javascript, Kotlin, PHP, Python",De 501 a 1000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4129807.0,Data Engineer,15,1,1,1,"Bash/Shell, Python, Ruby, SQL",De 201 a 500 personas,Híbrido (presencial y remoto),35,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3465274.56,SysAdmin / DevOps / SRE,20,3,3,8,"Bash/Shell, PHP, Python, SQL",Más de 10000 personas,100% remoto,44,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1200000.0,Data Scientist,2,0,2,0,"Python, SQL",De 51 a 100 personas,100% remoto,20,Hombre Cis,Junior,5
Corrientes,Full-Time,Contractor,3750000.0,Developer,15,4,4,0,"CSS, HTML, Javascript, Ruby, SQL",De 201 a 500 personas,100% remoto,42,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3118625.0,Developer,6,3,2,0,"Java, Javascript, Ruby, TypeScript",De 11  a 50  personas,Híbrido (presencial y remoto),27,Hombre Cis,Senior,3
Mendoza,Full-Time,Staff (planta permanente),3225000.0,SysAdmin / DevOps / SRE,6,4,2,3,"Bash/Shell, Python, SQL",De 1001 a 2000 personas,100% remoto,36,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Contractor,3412000.0,Infosec,12,0,0,0,Ninguno de los anteriores,De 2001a 5000 personas,100% remoto,36,Mujer Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,Developer,5,3,3,2,"Java, SQL",Más de 10000 personas,100% remoto,27,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2253500.0,BI Analyst / Data Analyst,3,3,0,3,Ninguno de los anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),31,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,SysAdmin / DevOps / SRE,10,4,2,0,"Bash/Shell, Python, SQL",Más de 10000 personas,100% remoto,37,Hombre Cis,Senior,7
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2500000.0,Technical Leader,8,3,1,4,Ninguno de los anteriores,De 51 a 100 personas,100% remoto,35,Hombre Cis,Senior,9
Santa Fe,Full-Time,Staff (planta permanente),1900000.0,QA / Tester,4,4,3,0,"Java, Javascript, SQL",De 101 a 200 personas,Híbrido (presencial y remoto),26,Mujer Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2400000.0,Manager / Director,6,0,3,0,".NET, C#, CSS, HTML, Javascript",De 51 a 100 personas,100% remoto,34,Mujer Cis,Senior,2
Neuquén,Full-Time,Contractor,4500000.0,BI Analyst / Data Analyst,14,2,2,0,"Javascript, Python, SQL, TypeScript",De 201 a 500 personas,100% remoto,38,Hombre Cis,Senior,4
Chaco,Full-Time,Contractor,1500000.0,Developer,2,0,2,0,Javascript,De 501 a 1000 personas,100% remoto,38,Mujer Cis,Junior,2
Córdoba,Full-Time,Staff (planta permanente),3000000.0,Developer,12,3,3,0,".NET, C#, Dart, Javascript, TypeScript",De 1001 a 2000 personas,100% remoto,37,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3390000.0,Recruiter,3,3,3,2,Ninguno de los anteriores,De 201 a 500 personas,100% remoto,41,Mujer Cis,Semi-Senior,9
Córdoba,Full-Time,Staff (planta permanente),1975000.0,Developer,3,0,0,0,"CSS, HTML, Javascript, TypeScript",Más de 10000 personas,100% presencial,43,Hombre Cis,Semi-Senior,2
Santa Fe,Full-Time,Staff (planta permanente),3000000.0,Technical Leader,4,3,1,6,"CSS, HTML, Javascript, PHP, Python, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),40,Hombre Cis,Semi-Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4720000.0,SysAdmin / DevOps / SRE,20,4,4,0,"Bash/Shell, HTML, Perl, PHP, Python, SQL",De 51 a 100 personas,100% remoto,40,Hombre Cis,Senior,4
Santa Fe,Full-Time,Staff (planta permanente),2100000.0,Developer,3,1,1,0,Swift,De 11  a 50  personas,Híbrido (presencial y remoto),26,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2784000.0,Developer,5,2,2,1,"Python, SQL",De 51 a 100 personas,100% remoto,29,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,Data Engineer,4,0,0,0,"Python, SQL",De 101 a 200 personas,100% remoto,25,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,2500000.0,Developer,4,4,4,2,"Clojure, CSS, HTML, TypeScript",De 51 a 100 personas,100% remoto,25,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6000000.0,Developer,18,10,6,3,"CSS, Groovy, HTML, Java, Javascript, SQL, TypeScript",De 51 a 100 personas,100% remoto,40,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000.0,Technical Leader,15,2,1,3,"Javascript, Python",De 101 a 200 personas,Híbrido (presencial y remoto),41,Hombre Cis,Senior,6
Santa Fe,Full-Time,Contractor,1200000.0,Data Engineer,3,0,0,0,"PHP, Python, R",De 51 a 100 personas,100% remoto,28,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,SysAdmin / DevOps / SRE,12,5,5,12,Python,De 11  a 50  personas,100% remoto,43,Prefiero no decir,Senior,5
Buenos Aires,Full-Time,Contractor,3200000.0,Developer,5,3,3,0,"CSS, HTML, Javascript, SQL, TypeScript",De 11  a 50  personas,100% remoto,47,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000.0,QA / Tester,3,3,3,0,".NET, C#",Más de 10000 personas,100% remoto,29,No binarie,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4426000.0,Technical Leader,13,0,3,3,"C, C++, Go, Javascript, Kotlin, Rust, TypeScript",De 501 a 1000 personas,100% remoto,35,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),4800000.0,Technical Leader,4,4,3,10,"Python, SQL",Más de 10000 personas,Híbrido (presencial y remoto),32,Hombre Cis,Semi-Senior,5
Córdoba,Full-Time,Contractor,4800000.0,Developer,5,0,0,0,"Javascript, TypeScript, Solidity",De 51 a 100 personas,100% remoto,30,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Contractor,3600000.0,Developer,6,1,0,2,"Java, Python",De 51 a 100 personas,100% remoto,29,Hombre Cis,Senior,3
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1486485.0,BI Analyst / Data Analyst,5,5,5,0,"SQL, PL/SQL",De 501 a 1000 personas,100% remoto,45,Hombre Cis,Semi-Senior,5
Córdoba,Full-Time,Staff (planta permanente),5141487.0,Developer,9,3,1,0,Python,Más de 10000 personas,Híbrido (presencial y remoto),38,Mujer Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1970489.0,UX Designer,4,2,2,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),33,Mujer Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),4117820.0,Developer,14,7,7,0,"Java, Scala",De 2001a 5000 personas,100% remoto,36,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3845000.0,BI Analyst / Data Analyst,10,8,3,2,"Python, SQL",De 1001 a 2000 personas,Híbrido (presencial y remoto),35,Mujer Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Recruiter,4,3,2,7,Ninguno de los anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),31,Mujer Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2600000.0,Designer,10,3,10,0,Ninguno de los anteriores,De 1001 a 2000 personas,100% remoto,34,Mujer Cis,Senior,9
Córdoba,Full-Time,Staff (planta permanente),4000000.0,DBA (Database Administrator),8,3,3,0,"PHP, SQL",De 1001 a 2000 personas,100% remoto,35,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1620000.0,QA / Tester,4,2,4,0,"Java, Javascript",De 51 a 100 personas,100% remoto,23,Mujer Cis,Semi-Senior,3
Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1480000.0,UX Designer,4,2,2,0,"CSS, HTML",De 1001 a 2000 personas,100% remoto,38,Mujer Cis,Semi-Senior,2
Mendoza,Full-Time,Contractor,3800000.0,QA / Tester,10,3,3,0,Javascript,De 101 a 200 personas,100% remoto,32,Hombre Cis,Senior,2
Misiones,Full-Time,Contractor,1400000.0,Developer,0,0,0,0,"Javascript, Python, TypeScript",De 2001a 5000 personas,100% remoto,25,Hombre Cis,Junior,4
Corrientes,Full-Time,Staff (planta permanente),1800000.0,Technical Leader,12,5,3,3,"CSS, Dart, HTML, Javascript, PHP, SQL, TypeScript",De 51 a 100 personas,100% presencial,37,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),2550000.0,Developer,8,0,4,0,"CSS, HTML, Javascript, TypeScript",De 11  a 50  personas,100% remoto,31,Queer,Senior,2
Córdoba,Part-Time,Tercerizado (trabajo a través de consultora o agencia),1570000.0,Developer,7,2,2,0,"Bash/Shell, C++, Python, SQL",De 11  a 50  personas,100% remoto,33,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5300000.0,Scrum Master,10,5,8,20,Ninguno de los anteriores,De 101 a 200 personas,100% remoto,37,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,Networking,15,2,2,0,Ninguno de los anteriores,Más de 10000 personas,100% presencial,37,Hombre Cis,Senior,9
Córdoba,Full-Time,Staff (planta permanente),1870000.0,BI Analyst / Data Analyst,3,3,1,0,SQL,De 51 a 100 personas,Híbrido (presencial y remoto),28,Hombre Cis,Semi-Senior,5
Buenos Aires,Full-Time,Staff (planta permanente),2600000.0,SysAdmin / DevOps / SRE,15,5,5,0,C++,Más de 10000 personas,Híbrido (presencial y remoto),42,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3882945.0,Developer,5,0,0,0,"Bash/Shell, Python, SQL",De 11  a 50  personas,100% remoto,36,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000.0,Storage / Backup,10,1,1,0,Ninguna,De 101 a 200 personas,Híbrido (presencial y remoto),43,Hombre Cis,Senior,9
San Juan,Full-Time,Contractor,850000.0,UX Designer,3,1,3,0,Ninguno de los anteriores,De 2 a 10 personas,100% remoto,28,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Contractor,1600000.0,Developer,4,2,2,0,"CSS, HTML, Javascript, TypeScript",De 51 a 100 personas,100% remoto,38,Hombre Cis,Semi-Senior,2
Santa Fe,Full-Time,Staff (planta permanente),5000000.0,Developer,15,5,5,3,"Arduino, C, C++, HTML, Java, Javascript, PHP, SQL, TypeScript",De 2 a 10 personas,100% remoto,40,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Contractor,1840000.0,Developer,3,6,6,0,"Java, Python",Más de 10000 personas,100% remoto,29,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1191510.0,BI Analyst / Data Analyst,10,2,2,0,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),48,Mujer Cis,Senior,9
Córdoba,Full-Time,Contractor,4312000.0,Technical Leader,10,1,8,0,"Python, SQL",De 101 a 200 personas,100% remoto,36,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4200000.0,Infosec,10,9,2,0,"Bash/Shell, C#, Python, Powershell",De 2001a 5000 personas,Híbrido (presencial y remoto),35,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Freelance,4000000.0,Developer,5,5,5,0,"Javascript, PHP, SQL",De 11  a 50  personas,100% remoto,29,Hombre Cis,Semi-Senior,2
Córdoba,Full-Time,Contractor,2467233.0,Designer,12,1,6,0,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,35,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4747500.0,Developer,7,0,0,0,"Java, SQL",De 501 a 1000 personas,100% remoto,28,Hombre Cis,Senior,2
Buenos Aires,Full-Time,Contractor,5000000.0,QA / Tester,14,0,0,0,"Go, Python",De 101 a 200 personas,100% remoto,40,Mujer Cis,Senior,3
Mendoza,Full-Time,Contractor,3750000.0,Developer,17,0,0,0,Kotlin,De 501 a 1000 personas,100% remoto,37,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Manager / Director,7,10,4,4,"Python, SQL",De 1001 a 2000 personas,100% remoto,42,Hombre Cis,Senior,5
Buenos Aires,Full-Time,Contractor,3900000.0,Manager / Director,20,2,2,13,Ninguno de los anteriores,De 11  a 50  personas,100% remoto,40,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000.0,HelpDesk,17,15,13,0,Ninguno de los anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),37,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Contractor,2640000.0,Developer,5,0,5,1,"CSS, HTML, Javascript, TypeScript",De 101 a 200 personas,100% remoto,30,Hombre Cis,Semi-Senior,2
Jujuy,Full-Time,Staff (planta permanente),900000.0,Developer,2,2,2,0,"CSS, HTML, Javascript, SQL, TypeScript",Más de 10000 personas,100% remoto,35,Mujer Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1450000.0,Developer,2,0,2,0,"C, C++, CSS, HTML, Javascript, PHP, Python, SQL",De 11  a 50  personas,100% presencial,21,Hombre Cis,Junior,4
Córdoba,Full-Time,Staff (planta permanente),4500000.0,Technical Leader,13,8,8,0,"Bash/Shell, C, Python",De 101 a 200 personas,100% remoto,39,Hombre Cis,Senior,9
San Juan,Full-Time,Staff (planta permanente),2221528.0,Developer,5,2,2,0,"CSS, HTML, Javascript, TypeScript",De 2001a 5000 personas,100% remoto,31,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,Architect,25,3,2,3,"Python, SQL",Más de 10000 personas,Híbrido (presencial y remoto),52,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2420000.0,Technical Leader,10,5,5,2,".NET, C#, CSS, HTML, Java, Javascript, SQL",De 1001 a 2000 personas,100% remoto,39,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,VP / C-Level,4,5,4,5,"C, HTML, Javascript, Rust, Solidity, TypeScript",De 2 a 10 personas,100% presencial,48,Hombre Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,960000.0,SysAdmin / DevOps / SRE,2,0,1,0,"Python, SQL",De 11  a 50  personas,100% remoto,22,Hombre Cis,Junior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,QA / Tester,7,7,7,0,"Assembler, C, C++, Python, Rust",De 11  a 50  personas,Híbrido (presencial y remoto),37,Hombre Cis,Senior,9
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),4233969.0,SysAdmin / DevOps / SRE,3,3,3,0,"Bash/Shell, Python",De 101 a 200 personas,100% remoto,29,Hombre Cis,Semi-Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,Developer,12,6,6,0,"HTML, Java, Javascript, SQL",De 51 a 100 personas,100% remoto,35,Mujer Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,BI Analyst / Data Analyst,6,0,0,0,"Bash/Shell, SQL",De 5001 a 10000 personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5500000.0,Manager / Director,15,0,0,0,Ninguno de los anteriores,De 201 a 500 personas,100% remoto,35,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,Developer,7,2,6,0,"CSS, HTML, Javascript, PHP, SQL, TypeScript",De 11  a 50  personas,100% remoto,37,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Contractor,3577379.0,UX Designer,9,0,1,0,"CSS, HTML",De 501 a 1000 personas,100% remoto,27,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2000000.0,Technical Leader,4,0,0,1,"Python, SQL, TypeScript",De 11  a 50  personas,100% remoto,28,Hombre Cis,Semi-Senior,5
Mendoza,Full-Time,Contractor,3000000.0,Developer,14,3,3,0,"CSS, HTML, Javascript, TypeScript",De 11  a 50  personas,100% remoto,37,Mujer Cis,Senior,2
Santa Fe,Full-Time,Staff (planta permanente),2218000.0,Networking,10,12,3,8,"Javascript, Python, R, SQL, VBA",De 101 a 200 personas,Híbrido (presencial y remoto),40,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5500000.0,Manager / Director,14,5,1,8,Ninguno de los anteriores,De 1001 a 2000 personas,100% remoto,37,Hombre Cis,Senior,9
Santa Cruz,Full-Time,Contractor,2700000.0,Developer,3,1,3,0,"Go, HTML, Java, Python, SQL, TypeScript",De 11  a 50  personas,100% remoto,31,Hombre Cis,Semi-Senior,4
Buenos Aires,Full-Time,Contractor,5300000.0,Developer,12,1,8,0,"Javascript, TypeScript",De 2001a 5000 personas,100% remoto,40,Prefiero no decir,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2800000.0,Architect,10,1,6,2,"Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),49,Hombre Cis,Senior,6
Buenos Aires,Full-Time,Staff (planta permanente),3800000.0,Developer,8,3,3,0,".NET, Bash/Shell, C#, CSS, HTML, SQL, TypeScript",De 501 a 1000 personas,100% remoto,31,Hombre Cis,Senior,4
Buenos Aires,Full-Time,Staff (planta permanente),4264000.0,Developer,12,10,5,0,"Kotlin, Objective-C, Swift",De 501 a 1000 personas,100% remoto,36,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2000000.0,Developer,8,4,4,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),35,Hombre Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2200000.0,Data Engineer,3,0,3,0,"Bash/Shell, Python, R, SQL",De 2 a 10 personas,Híbrido (presencial y remoto),33,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3015000.0,Developer,4,0,2,0,"Java, SQL",Más de 10000 personas,Híbrido (presencial y remoto),27,Hombre Cis,Semi-Senior,3
Santa Fe,Full-Time,Contractor,3300000.0,Developer,9,2,8,0,"Javascript, TypeScript",De 11  a 50  personas,100% remoto,35,Hombre Cis,Senior,2
Buenos Aires,Full-Time,Contractor,4200000.0,Technical Leader,10,1,3,8,".NET, Bash/Shell, C#, CSS, HTML, Javascript, TypeScript",De 101 a 200 personas,100% remoto,30,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5379000.0,SysAdmin / DevOps / SRE,8,3,3,1,"Bash/Shell, Go, Java, Javascript, Python, Ruby, SQL, TypeScript",De 11  a 50  personas,100% remoto,32,Hombre Cis,Senior,4
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,1300000.0,QA / Tester,0,0,0,0,"Python, SQL",De 2 a 10 personas,100% remoto,40,Hombre Cis,Junior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000.0,Developer,12,1,1,3,"Bash/Shell, Java, Kotlin, Python",De 51 a 100 personas,100% remoto,37,Hombre Cis,Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4000000.0,Developer,6,1,6,0,TypeScript,De 51 a 100 personas,100% remoto,24,Hombre Cis,Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2500000.0,Developer,5,5,5,0,"CSS, Javascript, SQL, TypeScript",De 501 a 1000 personas,100% remoto,35,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),1250000.0,QA / Tester,2,1,1,0,Ninguno de los anteriores,Más de 10000 personas,Híbrido (presencial y remoto),38,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1213000.0,Business Analyst,20,4,3,0,Ninguno de los anteriores,Más de 10000 personas,100% remoto,49,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1585725.0,Developer,3,1,3,0,"Javascript, TypeScript",De 51 a 100 personas,Híbrido (presencial y remoto),23,Mujer Cis,Semi-Senior,2
Mendoza,Full-Time,Contractor,1170410.0,Infosec,1,0,0,0,"Bash/Shell, Python",De 11  a 50  personas,100% remoto,27,Hombre Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,Developer,4,1,1,0,"CSS, HTML, Javascript, SQL, TypeScript",De 201 a 500 personas,100% remoto,32,Prefiero no decir,Semi-Senior,2
Entre Ríos,Full-Time,Contractor,5650000.0,Architect,15,3,4,2,"CSS, HTML, Javascript, Python, SQL, TypeScript, Apex",De 11  a 50  personas,100% remoto,28,Hombre Cis,Senior,4
Córdoba,Full-Time,Contractor,3600000.0,BI Analyst / Data Analyst,3,0,0,0,"Python, SQL",De 2001a 5000 personas,Híbrido (presencial y remoto),31,Hombre Cis,Semi-Senior,6
