ubicacion,dedicacion,contrato,salario,rol,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,tecnologias,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,genero,seniority,marvin_rol
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2371600.0,Consultant,8,2,2,4,"ABAP, SQL",De 51 a 100 personas,Híbrido (presencial y remoto),29,Hombre Cis,Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2800000.0,Manager / Director,3,0,3,10,Ninguno de los anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),40,Hombre Cis,Semi-Senior,9
Buenos Aires,Full-Time,Staff (planta permanente),2200000.0,Developer,5,3,3,0,".NET, HTML, Javascript, PHP, SQL",De 201 a 500 personas,100% remoto,25,Hombre Cis,Semi-Senior,3
Mendoza,Full-Time,Staff (planta permanente),1130453.0,Business Analyst,3,2,2,0,Ninguno de los anteriores,De 1001 a 2000 personas,100% remoto,32,Hombre Cis,Semi-Senior,9
Córdoba,Full-Time,Contractor,1600000.0,Developer,11,0,0,0,Python,De 2 a 10 personas,100% remoto,38,Hombre Cis,Senior,5
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2400000.0,Developer,3,3,3,0,"Java, SQL, TypeScript",De 101 a 200 personas,Híbrido (presencial y remoto),29,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,SysAdmin / DevOps / SRE,6,0,4,0,Go,De 5001 a 10000 personas,100% remoto,29,Mujer Cis,Senior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000.0,Data Engineer,5,4,2,0,"Python, SQL",Más de 10000 personas,100% remoto,37,Hombre Cis,Semi-Senior,6
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000.0,Developer,2,4,2,0,"Javascript, deluge",De 51 a 100 personas,100% remoto,36,Hombre Cis,Junior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1350000.0,Developer,2,2,2,0,COBOL,Más de 10000 personas,Híbrido (presencial y remoto),26,Mujer Cis,Junior,9
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1138082.0,Developer,0,0,0,0,Java,De 2001a 5000 personas,100% remoto,23,Mujer Cis,Junior,3
Buenos Aires,Full-Time,Contractor,3800000.0,SysAdmin / DevOps / SRE,9,3,6,0,"Bash/Shell, PHP, Python",De 11  a 50  personas,100% remoto,29,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1400000.0,Developer,5,2,5,1,".NET, C#, Javascript, Python",De 2 a 10 personas,100% remoto,22,Hombre Cis,Semi-Senior,3
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1974287.0,Business Analyst,1,0,0,0,Python,De 1001 a 2000 personas,Híbrido (presencial y remoto),34,Mujer Cis,Junior,5
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2600000.0,Developer,6,3,3,2,Java,De 101 a 200 personas,100% remoto,27,Hombre Cis,Senior,3
Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,Developer,3,1,3,0,"Bash/Shell, CSS, HTML, Javascript, TypeScript",De 201 a 500 personas,100% remoto,26,Hombre Cis,Semi-Senior,2
Buenos Aires,Full-Time,Staff (planta permanente),3680000.0,VP / C-Level,11,9,1,16,"Bash/Shell, HTML, Java, Python, SQL",De 11  a 50  personas,100% remoto,32,Hombre Cis,Senior,4
Córdoba,Full-Time,Staff (planta permanente),865000.0,Networking,5,4,4,1,"HTML, Ninguno de los anteriores",De 11  a 50  personas,100% presencial,27,Mujer Cis,Semi-Senior,2
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2700000.0,Developer,4,1,1,4,Python,De 2 a 10 personas,100% remoto,32,Hombre Cis,Semi-Senior,5
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6241971.49,Developer,21,5,2,0,"Bash/Shell, Java, Python",De 2001a 5000 personas,100% remoto,43,Hombre Cis,Senior,3
