contrato,dedicacion,remainder__salario,remainder__anos_de_experiencia,remainder__antiguedad_en_la_empresa_actual,remainder__anos_en_el_puesto_actual,remainder__cuantas_personas_tenes_a_cargo,remainder__edad,remainder__marvin_rol,remainder__cantidad_personas_encoded,remainder__modalidad_encoded,remainder__seniority_encoded
0.0,1.0,5000000.0,20.0,3.0,3.0,0.0,46.0,3.0,3.0,2.0,2.0
0.0,1.0,5000000.0,3.0,0.0,0.0,0.0,25.0,3.0,7.0,2.0,1.0
1.0,1.0,2800000.0,3.0,2.0,3.0,0.0,28.0,2.0,3.0,2.0,1.0
1.0,1.0,6200000.0,20.0,1.0,1.0,5.0,43.0,3.0,6.0,2.0,3.0
1.0,1.0,3984868.0,9.0,2.0,2.0,0.0,41.0,5.0,8.0,1.0,2.0
1.0,1.0,4641300.0,4.0,0.0,0.0,0.0,28.0,5.0,9.0,2.0,1.0
0.0,1.0,2300000.0,15.0,15.0,15.0,0.0,42.0,4.0,0.0,2.0,2.0
0.0,1.0,1000000.0,3.0,3.0,3.0,0.0,24.0,3.0,1.0,2.0,1.0
1.0,1.0,3250000.0,4.0,0.0,4.0,0.0,25.0,3.0,10.0,2.0,1.0
1.0,1.0,2500000.0,5.0,0.0,0.0,0.0,31.0,2.0,9.0,1.0,1.0
0.0,0.0,1200000.0,9.0,7.0,7.0,0.0,32.0,2.0,2.0,2.0,2.0
1.0,1.0,3000000.0,8.0,3.0,1.0,0.0,36.0,2.0,10.0,2.0,2.0
1.0,1.0,2200000.0,5.0,5.0,4.0,4.0,28.0,6.0,10.0,2.0,1.0
0.0,1.0,1552500.0,4.0,2.0,1.0,0.0,23.0,2.0,3.0,2.0,1.0
0.0,1.0,1242000.0,1.0,1.0,1.0,0.0,24.0,4.0,2.0,1.0,0.0
1.0,1.0,1834000.0,5.0,3.0,3.0,0.0,29.0,2.0,7.0,2.0,1.0
1.0,1.0,2460000.0,10.0,10.0,5.0,14.0,34.0,3.0,4.0,2.0,3.0
0.0,1.0,900000.0,0.0,0.0,0.0,0.0,25.0,4.0,3.0,2.0,0.0
0.0,1.0,965000.0,0.0,0.0,0.0,0.0,24.0,5.0,3.0,2.0,0.0
0.0,1.0,3500000.0,12.0,2.0,2.0,0.0,30.0,2.0,4.0,1.0,2.0
0.0,1.0,5000000.0,12.0,2.0,10.0,0.0,38.0,2.0,5.0,2.0,2.0
0.0,1.0,5500000.0,15.0,1.0,1.0,0.0,40.0,2.0,5.0,2.0,2.0
0.0,1.0,1400000.0,3.0,2.0,1.0,0.0,24.0,2.0,3.0,2.0,1.0
0.0,1.0,2540000.0,5.0,2.0,2.0,0.0,25.0,4.0,2.0,2.0,1.0
1.0,1.0,3500000.0,5.0,1.0,1.0,0.0,27.0,4.0,6.0,2.0,1.0
0.0,1.0,4620000.0,4.0,0.0,2.0,3.0,23.0,4.0,4.0,2.0,3.0
1.0,1.0,4760000.0,19.0,15.0,4.0,0.0,41.0,3.0,4.0,1.0,2.0
1.0,1.0,4419000.0,19.0,5.0,5.0,5.0,37.0,2.0,3.0,1.0,3.0
0.0,1.0,2400000.0,8.0,1.0,1.0,0.0,32.0,3.0,4.0,2.0,2.0
0.0,1.0,2731050.0,4.0,1.0,1.0,0.0,25.0,5.0,2.0,2.0,1.0
1.0,1.0,2800000.0,5.0,3.0,2.0,0.0,25.0,3.0,7.0,1.0,1.0
1.0,1.0,900000.0,2.0,2.0,0.0,0.0,29.0,5.0,8.0,2.0,0.0
0.0,1.0,6000000.0,10.0,3.0,3.0,30.0,40.0,3.0,5.0,2.0,2.0
0.0,1.0,2500000.0,10.0,3.0,1.0,9.0,32.0,4.0,4.0,1.0,2.0
0.0,1.0,3509146.0,14.0,0.0,10.0,0.0,34.0,2.0,2.0,2.0,2.0
0.0,1.0,2400000.0,7.0,2.0,2.0,7.0,36.0,3.0,6.0,2.0,2.0
0.0,1.0,3000000.0,3.0,2.0,2.0,0.0,26.0,4.0,9.0,2.0,1.0
0.0,0.0,1219655.0,2.0,0.0,0.0,0.0,29.0,3.0,1.0,2.0,0.0
1.0,1.0,5000000.0,7.0,3.0,3.0,0.0,31.0,3.0,4.0,2.0,2.0
1.0,1.0,2800000.0,3.0,3.0,1.0,0.0,42.0,5.0,8.0,2.0,1.0
1.0,1.0,3700000.0,5.0,0.0,0.0,0.0,29.0,2.0,10.0,1.0,1.0
1.0,1.0,1400000.0,4.0,4.0,2.0,0.0,49.0,6.0,10.0,2.0,1.0
1.0,1.0,1900000.0,2.0,1.0,2.0,0.0,31.0,3.0,10.0,2.0,0.0
1.0,1.0,1100000.0,5.0,5.0,3.0,0.0,26.0,2.0,10.0,2.0,1.0
0.0,1.0,2590000.0,4.0,0.0,4.0,0.0,27.0,2.0,1.0,2.0,1.0
0.0,1.0,4500000.0,26.0,0.0,10.0,4.0,46.0,4.0,7.0,2.0,3.0
1.0,1.0,4016149.0,21.0,4.0,4.0,0.0,38.0,3.0,6.0,2.0,2.0
1.0,1.0,2500000.0,15.0,4.0,3.0,6.0,42.0,3.0,3.0,2.0,2.0
1.0,1.0,3200000.0,14.0,0.0,14.0,0.0,33.0,3.0,6.0,2.0,2.0
1.0,1.0,1846210.0,10.0,0.0,8.0,0.0,50.0,3.0,8.0,2.0,2.0
1.0,1.0,2150000.0,8.0,6.0,3.0,0.0,27.0,2.0,3.0,2.0,2.0
0.0,1.0,3800000.0,4.0,0.0,4.0,0.0,26.0,4.0,5.0,2.0,1.0
1.0,1.0,1700000.0,3.0,2.0,2.0,6.0,29.0,6.0,2.0,2.0,3.0
1.0,1.0,2000000.0,3.0,3.0,1.0,0.0,24.0,4.0,4.0,1.0,1.0
1.0,1.0,2675000.0,25.0,6.0,6.0,0.0,47.0,6.0,6.0,1.0,2.0
1.0,1.0,5400000.0,3.0,2.0,3.0,0.0,36.0,2.0,10.0,1.0,1.0
1.0,1.0,3500000.0,7.0,4.0,1.0,3.0,29.0,5.0,2.0,1.0,2.0
1.0,1.0,1300000.0,3.0,3.0,3.0,1.0,24.0,3.0,5.0,2.0,1.0
1.0,1.0,3740000.0,5.0,3.0,3.0,0.0,43.0,3.0,10.0,2.0,1.0
1.0,1.0,1000000.0,4.0,5.0,4.0,0.0,31.0,4.0,5.0,0.0,1.0
1.0,1.0,1990000.0,3.0,1.0,2.0,0.0,41.0,5.0,10.0,2.0,1.0
1.0,1.0,3100000.0,6.0,1.0,1.0,0.0,47.0,2.0,5.0,2.0,2.0
1.0,1.0,2591495.0,13.0,0.0,4.0,0.0,35.0,6.0,10.0,1.0,2.0
0.0,1.0,1600000.0,3.0,0.0,0.0,0.0,28.0,2.0,2.0,2.0,1.0
0.0,1.0,6000000.0,10.0,3.0,3.0,0.0,29.0,2.0,6.0,2.0,2.0
1.0,1.0,3200000.0,16.0,3.0,2.0,3.0,43.0,5.0,3.0,1.0,3.0
0.0,1.0,1400000.0,2.0,2.0,2.0,0.0,30.0,4.0,2.0,1.0,0.0
1.0,1.0,1600000.0,7.0,2.0,2.0,0.0,33.0,6.0,4.0,2.0,2.0
1.0,1.0,6000000.0,12.0,2.0,1.0,5.0,36.0,3.0,6.0,2.0,2.0
1.0,1.0,2732535.0,12.0,7.0,2.0,15.0,35.0,4.0,10.0,1.0,2.0
1.0,1.0,1700000.0,2.0,2.0,1.0,0.0,27.0,5.0,10.0,2.0,0.0
0.0,0.0,1600000.0,7.0,5.0,3.0,4.0,40.0,2.0,3.0,2.0,2.0
0.0,1.0,1200000.0,14.0,10.0,10.0,0.0,44.0,2.0,1.0,0.0,2.0
0.0,1.0,4957000.0,13.0,13.0,13.0,0.0,39.0,4.0,0.0,1.0,2.0
0.0,1.0,5250000.0,20.0,1.0,8.0,5.0,42.0,2.0,3.0,2.0,3.0
1.0,1.0,3700000.0,6.0,1.0,1.0,7.0,35.0,4.0,3.0,1.0,2.0
1.0,1.0,1000000.0,5.0,3.0,3.0,1.0,24.0,4.0,2.0,2.0,1.0
0.0,1.0,1027400.0,1.0,1.0,1.0,0.0,29.0,2.0,0.0,2.0,0.0
1.0,1.0,5000000.0,20.0,10.0,10.0,6.0,44.0,4.0,2.0,1.0,2.0
1.0,1.0,3305000.0,7.0,4.0,1.0,0.0,27.0,4.0,8.0,2.0,2.0
1.0,1.0,3200000.0,11.0,10.0,1.0,0.0,34.0,2.0,3.0,1.0,3.0
1.0,1.0,6200000.0,4.0,5.0,3.0,0.0,34.0,5.0,5.0,2.0,1.0
0.0,1.0,4670000.0,8.0,1.0,3.0,0.0,33.0,3.0,2.0,2.0,2.0
0.0,1.0,1631700.0,3.0,1.0,3.0,0.0,28.0,4.0,2.0,2.0,1.0
1.0,1.0,5200000.0,5.0,3.0,3.0,15.0,38.0,2.0,3.0,2.0,1.0
1.0,1.0,3579221.0,6.0,2.0,2.0,0.0,24.0,3.0,10.0,1.0,2.0
1.0,1.0,3140000.0,8.0,3.0,2.0,0.0,33.0,5.0,10.0,2.0,2.0
0.0,1.0,2300000.0,18.0,18.0,18.0,0.0,45.0,2.0,0.0,2.0,2.0
1.0,1.0,4500000.0,6.0,4.0,4.0,0.0,35.0,3.0,4.0,2.0,2.0
1.0,1.0,2500000.0,3.0,1.0,1.0,0.0,30.0,6.0,10.0,2.0,1.0
0.0,0.0,1700000.0,10.0,1.0,1.0,2.0,55.0,4.0,0.0,2.0,3.0
1.0,1.0,3000000.0,6.0,4.0,4.0,0.0,37.0,4.0,10.0,1.0,2.0
1.0,1.0,1700381.0,2.0,2.0,2.0,0.0,37.0,6.0,1.0,2.0,0.0
1.0,1.0,3375256.5,7.0,7.0,7.0,0.0,31.0,3.0,8.0,2.0,2.0
0.0,1.0,4500000.0,4.0,2.0,2.0,0.0,31.0,3.0,4.0,2.0,1.0
0.0,1.0,3100000.0,16.0,0.0,16.0,0.0,37.0,2.0,4.0,2.0,2.0
