dedicacion,contrato,salario,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,edad,seniority,marvin_rol
Full-Time,Staff (planta permanente),2200000.0,5,5,4,4,Más de 10000 personas,100% remoto,28,Semi-Senior,6
Full-Time,Contractor,1552500.0,4,2,1,0,De 51 a 100 personas,100% remoto,23,Semi-Senior,2
Full-Time,Contractor,1242000.0,1,1,1,0,De 11  a 50  personas,Híbrido (presencial y remoto),24,Junior,4
Full-Time,Staff (planta permanente),1834000.0,5,3,3,0,De 1001 a 2000 personas,100% remoto,29,Semi-Senior,2
Full-Time,Staff (planta permanente),2460000.0,10,10,5,14,De 101 a 200 personas,100% remoto,34,Manager or Above,3
Full-Time,Contractor,900000.0,0,0,0,0,De 51 a 100 personas,100% remoto,25,Junior,4
Full-Time,Contractor,965000.0,0,0,0,0,De 51 a 100 personas,100% remoto,24,Junior,5
Full-Time,Contractor,3500000.0,12,2,2,0,De 101 a 200 personas,Híbrido (presencial y remoto),30,Senior,2
Full-Time,Contractor,5000000.0,12,2,10,0,De 201 a 500 personas,100% remoto,38,Senior,2
Full-Time,Contractor,5500000.0,15,1,1,0,De 201 a 500 personas,100% remoto,40,Senior,2
Full-Time,Contractor,1400000.0,3,2,1,0,De 51 a 100 personas,100% remoto,24,Semi-Senior,2
Full-Time,Contractor,2540000.0,5,2,2,0,De 11  a 50  personas,100% remoto,25,Semi-Senior,4
Full-Time,Staff (planta permanente),3500000.0,5,1,1,0,De 501 a 1000 personas,100% remoto,27,Semi-Senior,4
Full-Time,Contractor,4620000.0,4,0,2,3,De 101 a 200 personas,100% remoto,23,Manager or Above,4
Full-Time,Staff (planta permanente),4760000.0,19,15,4,0,De 101 a 200 personas,Híbrido (presencial y remoto),41,Senior,3
Full-Time,Staff (planta permanente),4419000.0,19,5,5,5,De 51 a 100 personas,Híbrido (presencial y remoto),37,Manager or Above,2
Full-Time,Contractor,2400000.0,8,1,1,0,De 101 a 200 personas,100% remoto,32,Senior,3
Full-Time,Contractor,2731050.0,4,1,1,0,De 11  a 50  personas,100% remoto,25,Semi-Senior,5
Full-Time,Staff (planta permanente),2800000.0,5,3,2,0,De 1001 a 2000 personas,Híbrido (presencial y remoto),25,Semi-Senior,3
Full-Time,Staff (planta permanente),900000.0,2,2,0,0,De 2001a 5000 personas,100% remoto,29,Junior,5
Full-Time,Contractor,6000000.0,10,3,3,30,De 201 a 500 personas,100% remoto,40,Senior,3
Full-Time,Contractor,2500000.0,10,3,1,9,De 101 a 200 personas,Híbrido (presencial y remoto),32,Senior,4
Full-Time,Contractor,3509146.0,14,0,10,0,De 11  a 50  personas,100% remoto,34,Senior,2
Full-Time,Tercerizado (trabajo a través de consultora o agencia),2400000.0,7,2,2,7,De 501 a 1000 personas,100% remoto,36,Senior,3
Full-Time,Contractor,3000000.0,3,2,2,0,De 5001 a 10000 personas,100% remoto,26,Semi-Senior,4
Part-Time,Contractor,1219655.0,2,0,0,0,De 2 a 10 personas,100% remoto,29,Junior,3
Full-Time,Staff (planta permanente),5000000.0,7,3,3,0,De 101 a 200 personas,100% remoto,31,Senior,3
Full-Time,Staff (planta permanente),2800000.0,3,3,1,0,De 2001a 5000 personas,100% remoto,42,Semi-Senior,5
Full-Time,Staff (planta permanente),3700000.0,5,0,0,0,Más de 10000 personas,Híbrido (presencial y remoto),29,Semi-Senior,2
Full-Time,Staff (planta permanente),1400000.0,4,4,2,0,Más de 10000 personas,100% remoto,49,Semi-Senior,6
Full-Time,Staff (planta permanente),1900000.0,2,1,2,0,Más de 10000 personas,100% remoto,31,Junior,3
Full-Time,Staff (planta permanente),1100000.0,5,5,3,0,Más de 10000 personas,100% remoto,26,Semi-Senior,2
Full-Time,Contractor,2590000.0,4,0,4,0,De 2 a 10 personas,100% remoto,27,Semi-Senior,2
Full-Time,Contractor,4500000.0,26,0,10,4,De 1001 a 2000 personas,100% remoto,46,Manager or Above,4
Full-Time,Staff (planta permanente),4016149.0,21,4,4,0,De 501 a 1000 personas,100% remoto,38,Senior,3
Full-Time,Staff (planta permanente),2500000.0,15,4,3,6,De 51 a 100 personas,100% remoto,42,Senior,3
